X,Y,SHB, player,swing,notes,inning
2.8,4.0,S,13,0,,1
2.2,-1.5,B,13,,,1
3.0,-1.8,B,13,,,1
2.3,3.4,S,13,0,,1
2.0,-1.6,B,13,,,1
3.0,1.6,H,13,,Ground ball,1
3.0,3.0,H,13,,Flyball - caught,1
2.8,3.2,S,13,1,,1
1.0,-1.2,S,13,1,,1
1.8,6.5,B,13,,,1
-0.6,4.2,B,13,,,1
-0.2,4.2,B,13,,,1
2.0,7.2,B,13,,,1
-0.5,6.7,B,13,,,1
3.2,4.0,S,13,0,,1
2.8,-1.5,B,13,,,1
3.8,3.0,H,13,,foul,1
3.0,2.8,H,13,,hit to 2nd base - runner going to 2nd out,1
3,3,H,20,,,2
3,2.5,S,20,0,,2
3.2,1.5,H,20,,foul,2
2.2,3.8,H,20,,foul - up - flyball,2
2.5,3.7,H,20,,foul - straight up,2
5.4,0.4,S,20,0,,2
2.8,3.5,H,20,,foul,2
-0.5,4.2,H,20,,foul,2
1.2,5,H,20,,,2
5.7,1.4,S,20,0,,2
5.3,0.8,S,20,0,,2
3.2,3.5,H,20,,foul,2
4.6,5.4,H,20,,foul,2
6.5,5,B,20,,,2
4.6,3.8,S,20,1,,2
-1,2.4,B,20,,,2
0.5,1.8,S,20,1,,2
-0.5,2.8,B,20,,,2
0.8,2.4,S,20,0,,2
7.8,5,B,20,,,2
2.5,-1.8,B,20,,,2
-0.5,-1.8,B,20,,,2
-0.8,-1,B,20,,,2
-0.4,0.5,B,20,,,2
6.5,2.5,B,20,,,2
4.3,5.4,S,20,0,,2
1.5,4.2,S,20,1,,2
3.3,6.2,B,20,,,2
-1.6,-1.8,B,20,,went for run - too slow,2
3.8,2.8,H,13,,foul - left and down,3
2.6,3.2,H,13,,foul - straight up,3
-0.5,-1.9,B,13,,,3
4.3,2.4,H,13,,foul,3
4.8,1.6,H,13,,,3
4.2,2.2,H,13,,flyball - caught out,3
1,2.5,S,13,1,,3
-1.5,-1.7,B,13,,,3
-0.5,4.2,B,13,,,3
-0.3,4.5,B,13,,,3
7,3.5,B,13,,,3
-0.5,4.2,B,13,,,3
7.8,5.4,B,13,,,3
7.2,-1.5,B,13,,,3
4.6,2.2,S,13,0,,3
4.5,3.4,H,13,,foul straight back and up,3
7.2,3.2,H,13,,flyball - caught out,3
-0.4,-1.5,B,13,,,4
0.6,1.5,S,13,0,,4
0.3,2.5,H,13,,foul - left,4
1.3,1.7,H,13,,,4
3.4,2.4,S,13,0,,4
4.2,1.8,S,13,1,,4
2.6,-0.4,B,13,,,4
1.8,6.5,B,13,,,4
4.2,2.4,S,13,0,,4
7.8,5.6,B,13,,,4
6.7,5.4,B,13,,,4
0.8,5,H,13,,straight to pitcher,4
